SEQ_NAME	START	END
chr12	191333	191348
chr12	205632	205647
chr12	228488	228503
chr12	240900	240915
chr12	257006	257021
chr12	258634	258649
chr12	260339	260354
chr12	262173	262188
chr12	266963	266978
chr12	302212	302227
chr12	323205	323220
chr12	342936	342951
chr12	377691	377706
chr12	389298	389313
chr12	391187	391202
chr12	417046	417061
chr12	424464	424479
chr12	491372	491387
chr12	491671	491686
chr12	551205	551220
chr12	608505	608520
chr12	635883	635898
chr12	636521	636536
chr12	658722	658737
chr12	677770	677785
chr12	728896	728911
chr12	730623	730638
chr12	732237	732252
chr12	738375	738390
chr12	746100	746115
chr12	777023	777038
chr12	836148	836163
chr12	842556	842571
chr12	876006	876021
chr12	890696	890711
chr12	892268	892283
chr12	902534	902549
chr12	912980	912995
chr12	917268	917283
chr12	920109	920124
chr12	937381	937396
chr12	949887	949902
chr12	957029	957044
chr12	988314	988329
chr12	1028915	1028930
chr13	26204	26219
chr13	26226	26241
chr13	30355	30370
chr13	30366	30381
chr13	41219	41234
chr13	44496	44511
chr13	47097	47112
chr13	56082	56097
chr13	58016	58031
chr13	96308	96323
chr13	109775	109790
chr13	148222	148237
chr13	161458	161473
chr13	161796	161811
chr13	175806	175821
chr13	180919	180934
chr13	209199	209214
chr13	222883	222898
chr13	234188	234203
chr13	236294	236309
chr13	237734	237749
chr13	253961	253976
chr13	272780	272795
chr13	275435	275450
chr13	287386	287401
chr13	294028	294043
chr13	332689	332704
chr13	338641	338656
chr13	347434	347449
chr13	390608	390623
chr13	392012	392027
chr13	418143	418158
chr13	434420	434435
chr13	446167	446182
chr13	451124	451139
chr13	467133	467148
chr13	471066	471081
chr13	471514	471529
chr13	511850	511865
chr13	529348	529363
chr13	546973	546988
chr13	579239	579254
chr13	592968	592983
chr13	619021	619036
chr13	635876	635891
chr13	651554	651569
chr13	653093	653108
chr13	689250	689265
chr13	701345	701360
chr13	773857	773872
chr13	777673	777688
chr13	777847	777862
chr13	779589	779604
chr13	780310	780325
chr13	797713	797728
chr13	807818	807833
chr13	817767	817782
chr13	825365	825380
chr13	852228	852243
chr13	864019	864034
chr13	875107	875122
chr13	892244	892259
chr13	898556	898571
chr13	915974	915989
chr14	33558	33573
chr14	86412	86427
chr14	126316	126331
chr14	138857	138872
chr14	162071	162086
chr14	164410	164425
chr14	166545	166560
chr14	195009	195024
chr14	199207	199222
chr14	217569	217584
chr14	219906	219921
chr14	220723	220738
chr14	227043	227058
chr14	233885	233900
chr14	301801	301816
chr14	328742	328757
chr14	329072	329087
chr14	335240	335255
chr14	350147	350162
chr14	352923	352938
chr14	371945	371960
chr14	391483	391498
chr14	393860	393875
chr14	395527	395542
chr14	423656	423671
chr14	427400	427415
chr14	447169	447184
chr14	478203	478218
chr14	490762	490777
chr14	507505	507520
chr14	538278	538293
chr14	540484	540499
chr14	546124	546139
chr14	559389	559404
chr14	559472	559487
chr14	586668	586683
chr14	609043	609058
chr14	617781	617796
chr14	623613	623628
chr14	623682	623697
chr14	628755	628770
chr14	651903	651918
chr14	660731	660746
chr14	665095	665110
chr14	687771	687786
chr14	689785	689800
chr14	701368	701383
chr14	702956	702971
chr14	719180	719195
chr14	728312	728327
chr14	739099	739114
chr15	3155	3170
chr15	7657	7672
chr15	27500	27515
chr15	33281	33296
chr15	50440	50455
chr15	69300	69315
chr15	75860	75875
chr15	102130	102145
chr15	106880	106895
chr15	109534	109549
chr15	128318	128333
chr15	128822	128837
chr15	138435	138450
chr15	187304	187319
chr15	207301	207316
chr15	217685	217700
chr15	232726	232741
chr15	260306	260321
chr15	287489	287504
chr15	328556	328571
chr15	329794	329809
chr15	357638	357653
chr15	389372	389387
chr15	411946	411961
chr15	430149	430164
chr15	446881	446896
chr15	511134	511149
chr15	511379	511394
chr15	511464	511479
chr15	526027	526042
chr15	579478	579493
chr15	585780	585795
chr15	590080	590095
chr15	605073	605088
chr15	613342	613357
chr15	614245	614260
chr15	618445	618460
chr15	628565	628580
chr15	629054	629069
chr15	642588	642603
chr15	642782	642797
chr15	677678	677693
chr15	684331	684346
chr15	697889	697904
chr15	766870	766885
chr15	770267	770282
chr15	777108	777123
chr15	777332	777347
chr15	821676	821691
chr15	830890	830905
chr15	833880	833895
chr15	866239	866254
chr15	882094	882109
chr15	886205	886220
chr15	893991	894006
chr15	894224	894239
chr15	912065	912080
chr15	917019	917034
chr15	919098	919113
chr15	979093	979108
chr15	979248	979263
chr15	986721	986736
chr15	1017815	1017830
chr15	1025883	1025898
chr15	1029726	1029741
chr15	1045811	1045826
chr15	1069383	1069398
chr16	23825	23840
chr16	46456	46471
chr16	47445	47460
chr16	69378	69393
chr16	75077	75092
chr16	75478	75493
chr16	86608	86623
chr16	87717	87732
chr16	133133	133148
chr16	139157	139172
chr16	163180	163195
chr16	167859	167874
chr16	187950	187965
chr16	188772	188787
chr16	215453	215468
chr16	226490	226505
chr16	227873	227888
chr16	248211	248226
chr16	249677	249692
chr16	318453	318468
chr16	345214	345229
chr16	358954	358969
chr16	363403	363418
chr16	366718	366733
chr16	369281	369296
chr16	385967	385982
chr16	394668	394683
chr16	425339	425354
chr16	425399	425414
chr16	453684	453699
chr16	456021	456036
chr16	461701	461716
chr16	481250	481265
chr16	496813	496828
chr16	509168	509183
chr16	517319	517334
chr16	517353	517368
chr16	527985	528000
chr16	542264	542279
chr16	551076	551091
chr16	560815	560830
chr16	571595	571610
chr16	573195	573210
chr16	582186	582201
chr16	632709	632724
chr16	640194	640209
chr16	641363	641378
chr16	645115	645130
chr16	656848	656863
chr16	709883	709898
chr16	719745	719760
chr16	731965	731980
chr16	738690	738705
chr16	793021	793036
chr16	832753	832768
chr16	840522	840537
chr16	850542	850557
chr16	870843	870858
chr16	877800	877815
chr16	885854	885869
chr16	906866	906881
chr16	927424	927439
chr16	928524	928539
chr16	937784	937799
chr16	939567	939582
