Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,Index,Instrument,Isolate,Isolation_Source,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SAMPLE_TYPE,SRA Study,STRAIN
SRR5872949,RNA-Seq,55,105472565,PRJNA395936,SAMN07418224,"Microbe\, viral or environmental",65045207,WEIZMANN INSTITUTE OF SCIENCE,2013-04-29,public,"sra,fastq",s3,s3.us-east-1,SRX3040544,uncalculated,uncalculated,missing,missing,100,Illumina HiSeq 2500,missing,missing,exp1_WT_PHO4-SA12346-GFP_mCh_0_2mM_recovery_5h,PAIRED,RT-PCR,TRANSCRIPTOMIC,Saccharomyces cerevisiae,ILLUMINA,2017-10-12T00:00:00Z,exp1_WT_PHO4-SA12346-GFP_mCh_0_2mM_recovery_5h,Yeast culture,SRP113638,BY4741
SRR5872950,RNA-Seq,55,105422625,PRJNA395936,SAMN07418223,"Microbe\, viral or environmental",64843195,WEIZMANN INSTITUTE OF SCIENCE,2013-04-29,public,"sra,fastq",s3,s3.us-east-1,SRX3040543,uncalculated,uncalculated,missing,missing,99,Illumina HiSeq 2500,missing,missing,exp1_WT_PHO4-SA12346-GFP_mCh_0_2mM_recovery_4h,PAIRED,RT-PCR,TRANSCRIPTOMIC,Saccharomyces cerevisiae,ILLUMINA,2017-10-12T00:00:00Z,exp1_WT_PHO4-SA12346-GFP_mCh_0_2mM_recovery_4h,Yeast culture,SRP113638,BY4741
SRR5872951,RNA-Seq,55,78039665,PRJNA395936,SAMN07418133,"Microbe\, viral or environmental",49586462,WEIZMANN INSTITUTE OF SCIENCE,2013-04-29,public,"sra,fastq",s3,s3.us-east-1,SRX3040542,uncalculated,uncalculated,missing,missing,9,Illumina HiSeq 2500,missing,missing,exp1_PHO84c_PHO4-SA1234-GFP_mCh_start_0h,PAIRED,RT-PCR,TRANSCRIPTOMIC,Saccharomyces cerevisiae,ILLUMINA,2017-10-12T00:00:00Z,exp1_PHO84c_PHO4-SA1234-GFP_mCh_start_0h,Yeast culture,SRP113638,BY4741
SRR5872952,RNA-Seq,55,82808660,PRJNA395936,SAMN07418217,"Microbe\, viral or environmental",52596288,WEIZMANN INSTITUTE OF SCIENCE,2013-04-29,public,"sra,fastq",s3,s3.us-east-1,SRX3040541,uncalculated,uncalculated,missing,missing,93,Illumina HiSeq 2500,missing,missing,exp1_WT_PHO4-SA12346-GFP_mCh_0_2mM_lowPi_6_5h,PAIRED,RT-PCR,TRANSCRIPTOMIC,Saccharomyces cerevisiae,ILLUMINA,2017-10-12T00:00:00Z,exp1_WT_PHO4-SA12346-GFP_mCh_0_2mM_lowPi_6_5h,Yeast culture,SRP113638,BY4741
SRR5872953,RNA-Seq,55,65531730,PRJNA395936,SAMN07418216,"Microbe\, viral or environmental",41614567,WEIZMANN INSTITUTE OF SCIENCE,2013-04-29,public,"sra,fastq",s3,s3.us-east-1,SRX3040540,uncalculated,uncalculated,missing,missing,92,Illumina HiSeq 2500,missing,missing,exp1_WT_PHO4-SA12346-GFP_mCh_0_2mM_lowPi_5h,PAIRED,RT-PCR,TRANSCRIPTOMIC,Saccharomyces cerevisiae,ILLUMINA,2017-10-12T00:00:00Z,exp1_WT_PHO4-SA12346-GFP_mCh_0_2mM_lowPi_5h,Yeast culture,SRP113638,BY4741
SRR5872954,RNA-Seq,55,58165360,PRJNA395936,SAMN07418215,"Microbe\, viral or environmental",36954708,WEIZMANN INSTITUTE OF SCIENCE,2013-04-29,public,"sra,fastq",s3,s3.us-east-1,SRX3040539,uncalculated,uncalculated,missing,missing,91,Illumina HiSeq 2500,missing,missing,exp1_WT_PHO4-SA12346-GFP_mCh_0_2mM_lowPi_3_5h,PAIRED,RT-PCR,TRANSCRIPTOMIC,Saccharomyces cerevisiae,ILLUMINA,2017-10-12T00:00:00Z,exp1_WT_PHO4-SA12346-GFP_mCh_0_2mM_lowPi_3_5h,Yeast culture,SRP113638,BY4741
SRR5872955,RNA-Seq,55,44097130,PRJNA395936,SAMN07418222,"Microbe\, viral or environmental",27184875,WEIZMANN INSTITUTE OF SCIENCE,2013-04-29,public,"fastq,sra",s3,s3.us-east-1,SRX3040538,uncalculated,uncalculated,missing,missing,98,Illumina HiSeq 2500,missing,missing,exp1_WT_PHO4-SA12346-GFP_mCh_0_2mM_recovery_3h,PAIRED,RT-PCR,TRANSCRIPTOMIC,Saccharomyces cerevisiae,ILLUMINA,2017-10-12T00:00:00Z,exp1_WT_PHO4-SA12346-GFP_mCh_0_2mM_recovery_3h,Yeast culture,SRP113638,BY4741
SRR5872956,RNA-Seq,55,43530740,PRJNA395936,SAMN07418221,"Microbe\, viral or environmental",26877027,WEIZMANN INSTITUTE OF SCIENCE,2013-04-29,public,"fastq,sra",s3,s3.us-east-1,SRX3040537,uncalculated,uncalculated,missing,missing,97,Illumina HiSeq 2500,missing,missing,exp1_WT_PHO4-SA12346-GFP_mCh_0_2mM_recovery_2h,PAIRED,RT-PCR,TRANSCRIPTOMIC,Saccharomyces cerevisiae,ILLUMINA,2017-10-12T00:00:00Z,exp1_WT_PHO4-SA12346-GFP_mCh_0_2mM_recovery_2h,Yeast culture,SRP113638,BY4741
SRR5872957,RNA-Seq,55,60486250,PRJNA395936,SAMN07418220,"Microbe\, viral or environmental",37228376,WEIZMANN INSTITUTE OF SCIENCE,2013-04-29,public,"fastq,sra",s3,s3.us-east-1,SRX3040536,uncalculated,uncalculated,missing,missing,96,Illumina HiSeq 2500,missing,missing,exp1_WT_PHO4-SA12346-GFP_mCh_0_2mM_recovery_1h,PAIRED,RT-PCR,TRANSCRIPTOMIC,Saccharomyces cerevisiae,ILLUMINA,2017-10-12T00:00:00Z,exp1_WT_PHO4-SA12346-GFP_mCh_0_2mM_recovery_1h,Yeast culture,SRP113638,BY4741
SRR5872958,RNA-Seq,55,78664410,PRJNA395936,SAMN07418219,"Microbe\, viral or environmental",50210273,WEIZMANN INSTITUTE OF SCIENCE,2013-04-29,public,"sra,fastq",s3,s3.us-east-1,SRX3040535,uncalculated,uncalculated,missing,missing,95,Illumina HiSeq 2500,missing,missing,exp1_WT_PHO4-SA12346-GFP_mCh_0_2mM_lowPi_9_5h,PAIRED,RT-PCR,TRANSCRIPTOMIC,Saccharomyces cerevisiae,ILLUMINA,2017-10-12T00:00:00Z,exp1_WT_PHO4-SA12346-GFP_mCh_0_2mM_lowPi_9_5h,Yeast culture,SRP113638,BY4741
SRR5872959,RNA-Seq,55,36610035,PRJNA395936,SAMN07418213,"Microbe\, viral or environmental",22517536,WEIZMANN INSTITUTE OF SCIENCE,2013-04-29,public,"sra,fastq",s3,s3.us-east-1,SRX3040534,uncalculated,uncalculated,missing,missing,89,Illumina HiSeq 2500,missing,missing,exp1_WT_PHO4-SA12346-GFP_mCh_0_2mM_lowPi_24_67h,PAIRED,RT-PCR,TRANSCRIPTOMIC,Saccharomyces cerevisiae,ILLUMINA,2017-10-12T00:00:00Z,exp1_WT_PHO4-SA12346-GFP_mCh_0_2mM_lowPi_24_67h,Yeast culture,SRP113638,BY4741
SRR5872960,RNA-Seq,55,60069405,PRJNA395936,SAMN07418138,"Microbe\, viral or environmental",35192829,WEIZMANN INSTITUTE OF SCIENCE,2013-04-22,public,"sra,fastq",s3,s3.us-east-1,SRX3040533,uncalculated,uncalculated,missing,missing,14,Illumina HiSeq 2500,missing,missing,exp1_PHO84c_PHO90c_Rep_mCh_0_2mM_recovery_4h,PAIRED,RT-PCR,TRANSCRIPTOMIC,Saccharomyces cerevisiae,ILLUMINA,2017-10-12T00:00:00Z,exp1_PHO84c_PHO90c_Rep_mCh_0_2mM_recovery_4h,Yeast culture,SRP113638,BY4741
SRR5872961,RNA-Seq,55,53013015,PRJNA395936,SAMN07418137,"Microbe\, viral or environmental",31045499,WEIZMANN INSTITUTE OF SCIENCE,2013-04-22,public,"fastq,sra",s3,s3.us-east-1,SRX3040532,uncalculated,uncalculated,missing,missing,13,Illumina HiSeq 2500,missing,missing,exp1_PHO84c_PHO90c_Rep_mCh_0_2mM_recovery_3h,PAIRED,RT-PCR,TRANSCRIPTOMIC,Saccharomyces cerevisiae,ILLUMINA,2017-10-12T00:00:00Z,exp1_PHO84c_PHO90c_Rep_mCh_0_2mM_recovery_3h,Yeast culture,SRP113638,BY4741
SRR5872962,RNA-Seq,55,53586005,PRJNA395936,SAMN07418136,"Microbe\, viral or environmental",31308696,WEIZMANN INSTITUTE OF SCIENCE,2013-04-22,public,"sra,fastq",s3,s3.us-east-1,SRX3040531,uncalculated,uncalculated,missing,missing,12,Illumina HiSeq 2500,missing,missing,exp1_PHO84c_PHO90c_Rep_mCh_0_2mM_recovery_2h,PAIRED,RT-PCR,TRANSCRIPTOMIC,Saccharomyces cerevisiae,ILLUMINA,2017-10-12T00:00:00Z,exp1_PHO84c_PHO90c_Rep_mCh_0_2mM_recovery_2h,Yeast culture,SRP113638,BY4741
SRR5872963,RNA-Seq,55,29363455,PRJNA395936,SAMN07418135,"Microbe\, viral or environmental",17242245,WEIZMANN INSTITUTE OF SCIENCE,2013-04-22,public,"fastq,sra",s3,s3.us-east-1,SRX3040530,uncalculated,uncalculated,missing,missing,11,Illumina HiSeq 2500,missing,missing,exp1_PHO84c_PHO90c_Rep_mCh_0_2mM_recovery_1h,PAIRED,RT-PCR,TRANSCRIPTOMIC,Saccharomyces cerevisiae,ILLUMINA,2017-10-12T00:00:00Z,exp1_PHO84c_PHO90c_Rep_mCh_0_2mM_recovery_1h,Yeast culture,SRP113638,BY4741
SRR5872964,RNA-Seq,55,130518355,PRJNA395936,SAMN07418142,"Microbe\, viral or environmental",82324838,WEIZMANN INSTITUTE OF SCIENCE,2013-04-22,public,"sra,fastq",s3,s3.us-east-1,SRX3040529,uncalculated,uncalculated,missing,missing,18,Illumina HiSeq 2500,missing,missing,exp1_PHO84c_PHO90c_Rep_mCh_start_0h,PAIRED,RT-PCR,TRANSCRIPTOMIC,Saccharomyces cerevisiae,ILLUMINA,2017-10-12T00:00:00Z,exp1_PHO84c_PHO90c_Rep_mCh_start_0h,Yeast culture,SRP113638,BY4741
SRR5872965,RNA-Seq,55,52557120,PRJNA395936,SAMN07418141,"Microbe\, viral or environmental",30906859,WEIZMANN INSTITUTE OF SCIENCE,2013-04-22,public,"fastq,sra",s3,s3.us-east-1,SRX3040528,uncalculated,uncalculated,missing,missing,17,Illumina HiSeq 2500,missing,missing,exp1_PHO84c_PHO90c_Rep_mCh_0_2mM_recovery_7_5h,PAIRED,RT-PCR,TRANSCRIPTOMIC,Saccharomyces cerevisiae,ILLUMINA,2017-10-12T00:00:00Z,exp1_PHO84c_PHO90c_Rep_mCh_0_2mM_recovery_7_5h,Yeast culture,SRP113638,BY4741
SRR5872966,RNA-Seq,55,81561535,PRJNA395936,SAMN07418140,"Microbe\, viral or environmental",47771154,WEIZMANN INSTITUTE OF SCIENCE,2013-04-22,public,"fastq,sra",s3,s3.us-east-1,SRX3040527,uncalculated,uncalculated,missing,missing,16,Illumina HiSeq 2500,missing,missing,exp1_PHO84c_PHO90c_Rep_mCh_0_2mM_recovery_6h,PAIRED,RT-PCR,TRANSCRIPTOMIC,Saccharomyces cerevisiae,ILLUMINA,2017-10-12T00:00:00Z,exp1_PHO84c_PHO90c_Rep_mCh_0_2mM_recovery_6h,Yeast culture,SRP113638,BY4741
SRR5872967,RNA-Seq,55,40986110,PRJNA395936,SAMN07418139,"Microbe\, viral or environmental",24038363,WEIZMANN INSTITUTE OF SCIENCE,2013-04-22,public,"sra,fastq",s3,s3.us-east-1,SRX3040526,uncalculated,uncalculated,missing,missing,15,Illumina HiSeq 2500,missing,missing,exp1_PHO84c_PHO90c_Rep_mCh_0_2mM_recovery_5h,PAIRED,RT-PCR,TRANSCRIPTOMIC,Saccharomyces cerevisiae,ILLUMINA,2017-10-12T00:00:00Z,exp1_PHO84c_PHO90c_Rep_mCh_0_2mM_recovery_5h,Yeast culture,SRP113638,BY4741
SRR5872968,RNA-Seq,55,33926530,PRJNA395936,SAMN07418144,"Microbe\, viral or environmental",20523723,WEIZMANN INSTITUTE OF SCIENCE,2013-06-03,public,"sra,fastq",s3,s3.us-east-1,SRX3040525,uncalculated,uncalculated,missing,missing,20,Illumina HiSeq 2500,missing,missing,exp1_PHO84c_Rep_mCh_0_2mM_lowPi_1h,PAIRED,RT-PCR,TRANSCRIPTOMIC,Saccharomyces cerevisiae,ILLUMINA,2017-10-12T00:00:00Z,exp1_PHO84c_Rep_mCh_0_2mM_lowPi_1h,Yeast culture,SRP113638,BY4741
SRR5872969,RNA-Seq,55,97927335,PRJNA395936,SAMN07418143,"Microbe\, viral or environmental",57415717,WEIZMANN INSTITUTE OF SCIENCE,2013-04-22,public,"sra,fastq",s3,s3.us-east-1,SRX3040524,uncalculated,uncalculated,missing,missing,19,Illumina HiSeq 2500,missing,missing,exp1_PHO84c_PHO90c_Rep_mCh_0_2mM_recovery_9h,PAIRED,RT-PCR,TRANSCRIPTOMIC,Saccharomyces cerevisiae,ILLUMINA,2017-10-12T00:00:00Z,exp1_PHO84c_PHO90c_Rep_mCh_0_2mM_recovery_9h,Yeast culture,SRP113638,BY4741
SRR5872970,RNA-Seq,55,77871145,PRJNA395936,SAMN07418227,"Microbe\, viral or environmental",47469012,WEIZMANN INSTITUTE OF SCIENCE,2013-04-29,public,"sra,fastq",s3,s3.us-east-1,SRX3040523,uncalculated,uncalculated,missing,missing,103,Illumina HiSeq 2500,missing,missing,exp1_WT_PHO4-SA12346-GFP_mCh_0_2mM_recovery_9h,PAIRED,RT-PCR,TRANSCRIPTOMIC,Saccharomyces cerevisiae,ILLUMINA,2017-10-12T00:00:00Z,exp1_WT_PHO4-SA12346-GFP_mCh_0_2mM_recovery_9h,Yeast culture,SRP113638,BY4741
SRR5872971,RNA-Seq,55,98705475,PRJNA395936,SAMN07418228,"Microbe\, viral or environmental",62862153,WEIZMANN INSTITUTE OF SCIENCE,2013-04-29,public,"fastq,sra",s3,s3.us-east-1,SRX3040522,uncalculated,uncalculated,missing,missing,104,Illumina HiSeq 2500,missing,missing,exp1_WT_PHO4-SA12346-GFP_mCh_0_5mM_lowPi_1h,PAIRED,RT-PCR,TRANSCRIPTOMIC,Saccharomyces cerevisiae,ILLUMINA,2017-10-12T00:00:00Z,exp1_WT_PHO4-SA12346-GFP_mCh_0_5mM_lowPi_1h,Yeast culture,SRP113638,BY4741
SRR5872972,RNA-Seq,55,80016695,PRJNA395936,SAMN07418225,"Microbe\, viral or environmental",49533695,WEIZMANN INSTITUTE OF SCIENCE,2013-04-29,public,"fastq,sra",s3,s3.us-east-1,SRX3040521,uncalculated,uncalculated,missing,missing,101,Illumina HiSeq 2500,missing,missing,exp1_WT_PHO4-SA12346-GFP_mCh_0_2mM_recovery_6h,PAIRED,RT-PCR,TRANSCRIPTOMIC,Saccharomyces cerevisiae,ILLUMINA,2017-10-12T00:00:00Z,exp1_WT_PHO4-SA12346-GFP_mCh_0_2mM_recovery_6h,Yeast culture,SRP113638,BY4741
SRR5872973,RNA-Seq,55,58055800,PRJNA395936,SAMN07418226,"Microbe\, viral or environmental",35746714,WEIZMANN INSTITUTE OF SCIENCE,2013-04-29,public,"sra,fastq",s3,s3.us-east-1,SRX3040520,uncalculated,uncalculated,missing,missing,102,Illumina HiSeq 2500,missing,missing,exp1_WT_PHO4-SA12346-GFP_mCh_0_2mM_recovery_7_5h,PAIRED,RT-PCR,TRANSCRIPTOMIC,Saccharomyces cerevisiae,ILLUMINA,2017-10-12T00:00:00Z,exp1_WT_PHO4-SA12346-GFP_mCh_0_2mM_recovery_7_5h,Yeast culture,SRP113638,BY4741
SRR5872974,RNA-Seq,55,80808035,PRJNA395936,SAMN07418231,"Microbe\, viral or environmental",51402350,WEIZMANN INSTITUTE OF SCIENCE,2013-04-29,public,"sra,fastq",s3,s3.us-east-1,SRX3040519,uncalculated,uncalculated,missing,missing,107,Illumina HiSeq 2500,missing,missing,exp1_WT_PHO4-SA12346-GFP_mCh_0_5mM_lowPi_3_5h,PAIRED,RT-PCR,TRANSCRIPTOMIC,Saccharomyces cerevisiae,ILLUMINA,2017-10-12T00:00:00Z,exp1_WT_PHO4-SA12346-GFP_mCh_0_5mM_lowPi_3_5h,Yeast culture,SRP113638,BY4741
SRR5872975,RNA-Seq,55,71908210,PRJNA395936,SAMN07418232,"Microbe\, viral or environmental",45822823,WEIZMANN INSTITUTE OF SCIENCE,2013-04-29,public,"sra,fastq",s3,s3.us-east-1,SRX3040518,uncalculated,uncalculated,missing,missing,108,Illumina HiSeq 2500,missing,missing,exp1_WT_PHO4-SA12346-GFP_mCh_0_5mM_lowPi_5h,PAIRED,RT-PCR,TRANSCRIPTOMIC,Saccharomyces cerevisiae,ILLUMINA,2017-10-12T00:00:00Z,exp1_WT_PHO4-SA12346-GFP_mCh_0_5mM_lowPi_5h,Yeast culture,SRP113638,BY4741
SRR5872976,RNA-Seq,55,20113500,PRJNA395936,SAMN07418229,"Microbe\, viral or environmental",12525027,WEIZMANN INSTITUTE OF SCIENCE,2013-04-29,public,"sra,fastq",s3,s3.us-east-1,SRX3040517,uncalculated,uncalculated,missing,missing,105,Illumina HiSeq 2500,missing,missing,exp1_WT_PHO4-SA12346-GFP_mCh_0_5mM_lowPi_24_67h,PAIRED,RT-PCR,TRANSCRIPTOMIC,Saccharomyces cerevisiae,ILLUMINA,2017-10-12T00:00:00Z,exp1_WT_PHO4-SA12346-GFP_mCh_0_5mM_lowPi_24_67h,Yeast culture,SRP113638,BY4741
SRR5872977,RNA-Seq,55,146645840,PRJNA395936,SAMN07418230,"Microbe\, viral or environmental",93407954,WEIZMANN INSTITUTE OF SCIENCE,2013-04-29,public,"fastq,sra",s3,s3.us-east-1,SRX3040516,uncalculated,uncalculated,missing,missing,106,Illumina HiSeq 2500,missing,missing,exp1_WT_PHO4-SA12346-GFP_mCh_0_5mM_lowPi_2h,PAIRED,RT-PCR,TRANSCRIPTOMIC,Saccharomyces cerevisiae,ILLUMINA,2017-10-12T00:00:00Z,exp1_WT_PHO4-SA12346-GFP_mCh_0_5mM_lowPi_2h,Yeast culture,SRP113638,BY4741
SRR5872978,RNA-Seq,55,25037485,PRJNA395936,SAMN07418126,"Microbe\, viral or environmental",15549036,WEIZMANN INSTITUTE OF SCIENCE,2013-04-29,public,"sra,fastq",s3,s3.us-east-1,SRX3040515,uncalculated,uncalculated,missing,missing,2,Illumina HiSeq 2500,missing,missing,exp1_PHO84c_PHO4-SA1234-GFP_mCh_0_2mM_lowPi_24_67h,PAIRED,RT-PCR,TRANSCRIPTOMIC,Saccharomyces cerevisiae,ILLUMINA,2017-10-12T00:00:00Z,exp1_PHO84c_PHO4-SA1234-GFP_mCh_0_2mM_lowPi_24_67h,Yeast culture,SRP113638,BY4741
SRR5872979,RNA-Seq,55,60845785,PRJNA395936,SAMN07418125,"Microbe\, viral or environmental",38677091,WEIZMANN INSTITUTE OF SCIENCE,2013-04-29,public,"sra,fastq",s3,s3.us-east-1,SRX3040514,uncalculated,uncalculated,missing,missing,1,Illumina HiSeq 2500,missing,missing,exp1_PHO84c_PHO4-SA1234-GFP_mCh_0_2mM_lowPi_1h,PAIRED,RT-PCR,TRANSCRIPTOMIC,Saccharomyces cerevisiae,ILLUMINA,2017-10-12T00:00:00Z,exp1_PHO84c_PHO4-SA1234-GFP_mCh_0_2mM_lowPi_1h,Yeast culture,SRP113638,BY4741
SRR5872980,RNA-Seq,55,78698565,PRJNA395936,SAMN07418233,"Microbe\, viral or environmental",50317977,WEIZMANN INSTITUTE OF SCIENCE,2013-04-29,public,"fastq,sra",s3,s3.us-east-1,SRX3040513,uncalculated,uncalculated,missing,missing,109,Illumina HiSeq 2500,missing,missing,exp1_WT_PHO4-SA12346-GFP_mCh_0_5mM_lowPi_6_5h,PAIRED,RT-PCR,TRANSCRIPTOMIC,Saccharomyces cerevisiae,ILLUMINA,2017-10-12T00:00:00Z,exp1_WT_PHO4-SA12346-GFP_mCh_0_5mM_lowPi_6_5h,Yeast culture,SRP113638,BY4741
SRR5872981,RNA-Seq,55,80674165,PRJNA395936,SAMN07418234,"Microbe\, viral or environmental",51262512,WEIZMANN INSTITUTE OF SCIENCE,2013-04-29,public,"fastq,sra",s3,s3.us-east-1,SRX3040512,uncalculated,uncalculated,missing,missing,110,Illumina HiSeq 2500,missing,missing,exp1_WT_PHO4-SA12346-GFP_mCh_0_5mM_lowPi_8h,PAIRED,RT-PCR,TRANSCRIPTOMIC,Saccharomyces cerevisiae,ILLUMINA,2017-10-12T00:00:00Z,exp1_WT_PHO4-SA12346-GFP_mCh_0_5mM_lowPi_8h,Yeast culture,SRP113638,BY4741
SRR5872982,RNA-Seq,55,86564280,PRJNA395936,SAMN07418130,"Microbe\, viral or environmental",55332103,WEIZMANN INSTITUTE OF SCIENCE,2013-04-29,public,"fastq,sra",s3,s3.us-east-1,SRX3040511,uncalculated,uncalculated,missing,missing,6,Illumina HiSeq 2500,missing,missing,exp1_PHO84c_PHO4-SA1234-GFP_mCh_0_2mM_lowPi_6_5h,PAIRED,RT-PCR,TRANSCRIPTOMIC,Saccharomyces cerevisiae,ILLUMINA,2017-10-12T00:00:00Z,exp1_PHO84c_PHO4-SA1234-GFP_mCh_0_2mM_lowPi_6_5h,Yeast culture,SRP113638,BY4741
