CHR	START	END	Consensus	ScPho4.bound	CgPho4.bound
chr7	957950	958948	TRUE	TRUE	TRUE
chr7	999675	1000673	TRUE	TRUE	TRUE
chr8	174731	175729	TRUE	TRUE	TRUE
chr8	235578	236576	TRUE	TRUE	TRUE
chr8	374530	375528	TRUE	TRUE	TRUE
chr8	551391	551812	FALSE	TRUE	TRUE
chr9	332767	333766	FALSE	FALSE	TRUE
chr9	365388	366386	TRUE	FALSE	TRUE
chr9	406251	407249	TRUE	FALSE	TRUE
chr9	420086	421084	TRUE	FALSE	TRUE
chr10	76156	77154	TRUE	FALSE	TRUE
chr10	122913	123911	TRUE	FALSE	TRUE
chr10	159600	160598	TRUE	FALSE	TRUE
chr10	191742	192740	TRUE	TRUE	TRUE
chr10	278702	279700	TRUE	FALSE	FALSE
chr10	313049	314047	TRUE	FALSE	TRUE
chr10	337416	338414	TRUE	FALSE	TRUE
chr10	412920	413918	TRUE	TRUE	TRUE
chr10	544945	545943	TRUE	TRUE	TRUE
chr10	547999	548997	TRUE	TRUE	TRUE
chr10	703204	704202	TRUE	TRUE	TRUE
chr11	341603	342602	TRUE	TRUE	TRUE
chr11	506385	507383	TRUE	FALSE	TRUE
chr11	526478	527476	TRUE	TRUE	TRUE
chr12	416455	417453	TRUE	TRUE	TRUE
chr12	550614	551612	TRUE	FALSE	TRUE
chr12	677176	678174	TRUE	TRUE	TRUE
chr12	731646	732644	TRUE	FALSE	TRUE
chr12	937000	937700	TRUE	FALSE	TRUE
chr13	25610	26608	TRUE	TRUE	TRUE
chr13	109660	110034	TRUE	FALSE	TRUE
chr13	208605	209603	TRUE	TRUE	TRUE
chr13	275124	275574	TRUE	TRUE	TRUE
chr13	286795	287793	TRUE	FALSE	TRUE
chr13	592377	593375	TRUE	TRUE	TRUE
chr13	652499	653497	TRUE	TRUE	TRUE
chr13	688656	689654	TRUE	TRUE	TRUE
chr13	773266	774264	TRUE	TRUE	TRUE
chr13	777082	778080	TRUE	TRUE	TRUE
chr13	851634	852632	TRUE	TRUE	TRUE
chr14	32967	33965	TRUE	FALSE	TRUE
chr14	226449	227447	TRUE	FALSE	TRUE
chr14	477612	478610	TRUE	TRUE	TRUE
chr14	545877	546377	TRUE	TRUE	TRUE
chr14	700774	701772	TRUE	FALSE	TRUE
chr14	727718	728716	TRUE	TRUE	TRUE
chr14	738508	739506	TRUE	FALSE	TRUE
chr15	49849	50847	TRUE	FALSE	TRUE
chr15	68706	69704	TRUE	TRUE	TRUE
chr15	217094	218092	TRUE	FALSE	TRUE
chr15	391305	391920	FALSE	TRUE	TRUE
chr15	641997	642995	TRUE	TRUE	TRUE
chr15	677087	678085	TRUE	FALSE	TRUE
chr15	911474	912472	TRUE	TRUE	TRUE
chr15	978654	979652	TRUE	TRUE	TRUE
chr16	74483	75481	TRUE	TRUE	TRUE
chr16	214862	215860	TRUE	TRUE	TRUE
chr16	225899	226897	TRUE	FALSE	TRUE
chr16	344623	345621	TRUE	TRUE	TRUE
chr16	424748	425746	TRUE	FALSE	TRUE
chr16	453093	454091	TRUE	TRUE	TRUE
chr16	516762	517760	TRUE	TRUE	TRUE
chr16	640772	641770	TRUE	TRUE	TRUE
chr16	719151	720149	TRUE	FALSE	TRUE
chr16	839931	840929	TRUE	FALSE	TRUE
chr16	927275	928612	TRUE	TRUE	TRUE
