geneID	10m	20m	30m	40m	50m	60m	80m	100m	120m	160m	geneName	function
YDR148C	-0.27	0.1	0.79	0.87	0.24	0.11	0.11	0.07	0.11	0.44	KGD2	"Dihydrolipoyl transsuccinylase, component of the mitochondrial alpha-ketoglutarate dehydrogenase complex, which catalyzes the oxidative decarboxylation of alpha-ketoglutarate to succinyl-CoA in the TCA cycle; phosphorylated"
YDR296W	0.05	0.16	0.57	0.36	0.24	-0.15	-0.01	-0.14	0.04	0.3	MHR1	Protein involved in homologous recombination in mitochondria; required for recombination-dependent mtDNA partitioning; involved in stimulation of mitochondrial DNA replication in response to oxidative stress
YDR353W		2.41		2.5							TRR1	"Cytoplasmic thioredoxin reductase, key regulatory enzyme that determines the redox state of the thioredoxin system, which acts as a disulfide reductase system and protects cells against both oxidative and reductive stress"
YDR368W	1.21	1.19	1.15	0.8	1.33	0.86	0.18	0.04	-0.07	-0.38	YPR1	"NADPH-dependent aldo-keto reductase, reduces multiple substrates including 2-methylbutyraldehyde and D,L-glyceraldehyde, expression is induced by osmotic and oxidative stress; functionally redundant with other aldo-keto reductases"
YER042W	0.29	0.33	0.43	0.88	-0.01	0.15	0.4	-0.22	0.49	0.33	MXR1	"Methionine-S-sulfoxide reductase, involved in the response to oxidative stress; protects iron-sulfur clusters from oxidative inactivation along with MXR2; involved in the regulation of lifespan"
YER062C	-0.56	-0.1	0.61	0.56	0.43	1.24	0.7	-0.09	0.77	0.69	GPP2	"One of two redundant DL-glycerol-3-phosphatases (RHR2/GPP1 encodes the other) involved in glycerol biosynthesis; induced in response to hyperosmotic stress and oxidative stress, and during the diauxic transition"
YER174C	0.3	-0.74	-0.27	0.3	0.2	-0.09	-0.01	0.33	-0.15	0.08	GRX4	Hydroperoxide and superoxide-radical responsive glutathione-dependent oxidoreductase; monothiol glutaredoxin subfamily member along with Grx3p and Grx5p; protects cells from oxidative damage; mutant has increased aneuploidy tolerance
YER178W	-0.2	0.14	0.26	-0.23	0.49	0.32	-0.06	0.12	-0.32	-0.15	PDA1	"E1 alpha subunit of the pyruvate dehydrogenase (PDH) complex, catalyzes the direct oxidative decarboxylation of pyruvate to acetyl-CoA; phosphorylated; regulated by glucose"
YFL007W	0.55	1.47	0.68	0.52	0.12	-0.02	-0.28	0.21	-0.21	0.01	BLM10	"Proteasome activator subunit; found in association with core particles, with and without the 19S regulatory particle; required for resistance to bleomycin, may be involved in protecting against oxidative damage; similar to mammalian PA200"
YFL014W	0.94	4.82	6.3	5.44	5.62	5.2	3.62	3.12	2.9	2.8	HSP12	"Plasma membrane protein involved in maintaining membrane organization in stress conditions; induced by heat shock, oxidative stress, osmostress, stationary phase, glucose depletion, oleate and alcohol; regulated by HOG and Ras-Pka pathways"
YFL056C	2.79	2.63	2.38		2.04	2.88	1.94	1.45	1.85	1.98	AAD6	Putative aryl-alcohol dehydrogenase; involved in oxidative stress response; similar to P. chrysosporium aryl-alcohol dehydrogenase; expression induced in cells treated with the mycotoxin patulin
YGL060W	-0.27	-0.23	-0.4	0.21	-0.17	-0.54	-0.15	0.25	-0.07	-0.27	YBP2	Central kinetochore associated protein that mediates mitotic progression; interacts with several central kinetochore proteins and the centromeric histone Cse4p; role in resistance to oxidative stress; similarity to Ybp1p and Slk19p
YGL158W	-0.34	1.31	-0.74	-0.56	-0.2	-1.06	-0.36	0.26	0.18	-0.01	RCK1	Protein kinase involved in the response to oxidative stress; identified as suppressor of S. pombe cell cycle checkpoint mutations
YGR019W	0.51	0.86		1.01	1.16	1.67					UGA1	Gamma-aminobutyrate (GABA) transaminase (4-aminobutyrate aminotransferase) involved in the 4-aminobutyrate and glutamate degradation pathways; required for normal oxidative stress tolerance and nitrogen utilization
YGR023W	0.63	0.53	0.58	-0.4	0.76	0.55	0.07	-0.04	-0.03	-0.27	MTL1	"Putative plasma membrane sensor, involved in cell integrity signaling and stress response during glucose starvation and oxidative stress; has structural and functional similarity to Mid2p"
YGR088W	2.65	2.2	2.31		2.72	1.85	0.93	0.82	0.91	1.52	CTT1	"Cytosolic catalase T, has a role in protection from oxidative damage by hydrogen peroxide"
YGR097W	-0.14	0.65	0.04	-0.25	0.14	0.39	0.17	0.11	0.16	0.39	ASK10	"Component of RNA polymerase II holoenzyme, phosphorylated in response to oxidative stress; has a role in destruction of Ssn8p; proposed to function in activation of the glycerol channel Fps1p; paralogous to Rgc1p"
YGR154C	0.5	-0.34	0.24	0.75	0.28	0.32	0.37	0.37	0.16	0.1	GTO1	Omega-class glutathione transferase; induced under oxidative stress; putative peroxisomal localization
YGR207C	-0.14	1.13	1.3	0.42	0.91	0.86	0.36	0.23	0.36	0.08	CIR1	Mitochondrial protein that interacts with frataxin (Yfh1p); putative ortholog of mammalian electron transfer flavoprotein complex subunit ETF-beta; may have a role in oxidative stress response
YGR209C	-0.09	3.41	3.58	2.56	3.08	3.07	1.9	1.77	1.96	1.65	TRX2	"Cytoplasmic thioredoxin isoenzyme of the thioredoxin system which protects cells against oxidative and reductive stress, forms LMA1 complex with Pbi2p, acts as a cofactor for Tsa1p, required for ER-Golgi transport and vacuole inheritance"
YGR234W	-0.04	-0.79	-0.67	0.18	-0.34	0.04	0.04	-0.36	0.1	0.03	YHB1	"Nitric oxide oxidoreductase, flavohemoglobin involved in nitric oxide detoxification; plays a role in the oxidative and nitrosative stress responses"
YHR043C	-0.49	-1.03	-0.67	-0.34	0.42	-0.12	-0.01	-0.09	-0.1	0.11	DOG2	"2-deoxyglucose-6-phosphate phosphatase, member of a family of low molecular weight phosphatases, similar to Dog1p, induced by oxidative and osmotic stress, confers 2-deoxyglucose resistance when overexpressed"
YHR104W	0.44	0.41	1.35	2.07	1.71	1.16	0.77	0.73	0.31	0.58	GRE3	"Aldose reductase involved in methylglyoxal, d-xylose, arabinose, and galactose metabolism; stress induced (osmotic, ionic, oxidative, heat shock, starvation and heavy metals); regulated by the HOG pathway"
YHR106W		0.83	0.82	0.25	0.61	0.44			-0.01		TRR2	"Mitochondrial thioredoxin reductase involved in protection against oxidative stress, required with Glr1p to maintain the redox state of Trx3p; contains active-site motif (CAVC) present in prokaryotic orthologs; binds NADPH and FAD"
YHR178W	0.22	-1.39	0.37		0.49	0.29	0.34	0.35	-0.02	0.26	STB5	"Transcription factor, involved in regulating multidrug resistance and oxidative stress response; forms a heterodimer with Pdr1p; contains a Zn(II)2Cys6 zinc finger domain that interacts with a pleiotropic drug resistance element in vitro"
YHR179W	2.09	1.02	0.7	-0.54	1.27	-0.89	-0.67	-0.76	-0.76	-0.38	OYE2	"Conserved NADPH oxidoreductase containing flavin mononucleotide (FMN), homologous to Oye3p with different ligand binding and catalytic properties; may be involved in sterol metabolism, oxidative stress response, and programmed cell death"
YHR183W	-0.73	0.39	0.54	-0.15	0.25	-0.15	0.49	0.57	0.08	0.56	GND1	"6-phosphogluconate dehydrogenase (decarboxylating), catalyzes an NADPH regenerating reaction in the pentose phosphate pathway; required for growth on D-glucono-delta-lactone and adaptation to oxidative stress"
YHR206W	-0.77	-0.36	-0.93		-0.49	-0.67	-0.38	-0.08	-0.3	-0.1	SKN7	Nuclear response regulator and transcription factor; physically interacts with the Tup1-Cyc8 complex and recruits Tup1p to its targets; part of a branched two-component signaling system; required for optimal induction of heat-shock genes in response to oxidative stress; involved in osmoregulation
YIL008W	-0.36	-0.29	-1.12	0.39	-0.32	-0.05	0.14	-0.21	0.04	0.11	URM1	Ubiquitin-like protein involved in thiolation of cytoplasmic tRNAs; receives sulfur from the E1-like enzyme Uba4p and transfers it to tRNA; also functions as a protein tag with roles in nutrient sensing and oxidative stress response
YIL070C	-0.06	0.39	1.14	1.36	0.55	0.27	0.29	0.48	0.38	0.51	MAM33	Acidic protein of the mitochondrial matrix involved in oxidative phosphorylation; related to the human complement receptor gC1q-R
YIL094C	-0.86	-1.09	-0.48	-0.01	0.75	0.85	0.95	0.91	0.59	0.61	LYS12	"Homo-isocitrate dehydrogenase, an NAD-linked mitochondrial enzyme required for the fourth step in the biosynthesis of lysine, in which homo-isocitrate is oxidatively decarboxylated to alpha-ketoadipate"
YIL125W	0.13	0.46	0.48	0.21	0.33	0.16	-0.15	0.21	0.04	-0.07	KGD1	"Component of the mitochondrial alpha-ketoglutarate dehydrogenase complex, which catalyzes a key step in the tricarboxylic acid (TCA) cycle, the oxidative decarboxylation of alpha-ketoglutarate to form succinyl-CoA"
YJL121C	-0.51	-0.71	-0.86	-0.74	-0.81	-0.04	0.06	-0.18	0.16	0.19	RPE1	"D-ribulose-5-phosphate 3-epimerase, catalyzes a reaction in the non-oxidative part of the pentose-phosphate pathway; mutants are sensitive to oxidative stress"
YJL159W	-0.62	-0.34	0.14	-0.15	-0.71	-0.51	-0.45	-0.3	0.2	0.03	HSP150	"O-mannosylated heat shock protein that is secreted and covalently attached to the cell wall via beta-1,3-glucan and disulfide bridges; required for cell wall stability; induced by heat shock, oxidative stress, and nitrogen limitation"
YJR144W	-0.58	-1.56	-0.03	-0.2	-0.54	-0.07	-0.09	-0.36	0.11	-0.09	MGM101	"Protein involved in mitochondrial genome maintenance; component of the mitochondrial nucleoid, required for the repair of oxidative mtDNA damage"
YKL026C	1.19	2.82	2.71	1.43	1.72	1.63	0.67	0.39	0.56	1.25	GPX1	Phospholipid hydroperoxide glutathione peroxidase induced by glucose starvation that protects cells from phospholipid hydroperoxides and nonphospholipid peroxides during oxidative stress
YKL029C	-1.18	-4.64	-6.64	-0.43	-0.92	-0.6	0.34	0.16	-0.12		MAE1	"Mitochondrial malic enzyme, catalyzes the oxidative decarboxylation of malate to pyruvate, which is a key intermediate in sugar metabolism and a precursor for synthesis of several amino acids"
YKL056C	-0.92	-1.47	-1.47	-1.47	-0.86	-0.74	-0.42	-0.22	0	-0.25	TMA19	Protein that associates with ribosomes; homolog of translationally controlled tumor protein; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and relocates to the mitochondrial outer surface upon oxidative stress
YKL060C	-0.43	-0.29	-0.69	-0.47	-0.67	-0.54	-0.15	-0.6	-0.27	-0.01	FBA1	"Fructose 1,6-bisphosphate aldolase, required for glycolysis and gluconeogenesis; catalyzes conversion of fructose 1,6 bisphosphate to glyceraldehyde-3-P and dihydroxyacetone-P; locates to mitochondrial outer surface upon oxidative stress"
YKL069W	-0.12	-0.47	-0.74	-0.43	-0.23	0.2	0.42	-0.14	0.08	0.26	YKL069W	"Methionine-R-sulfoxide reductase, reduces the R enantiomer of free Met-SO, in contrast to Ycl033Cp which reduces Met-R-SO in a peptide linkage; has a role in protection against oxidative stress"
YKL086W	0.35	-0.02	0.22	0.62	0.19	0.2	-0.61	-0.21	-0.46	-0.74	SRX1	"Sulfiredoxin, contributes to oxidative stress resistance by reducing cysteine-sulfinic acid groups in the peroxiredoxin Tsa1p, which is formed upon exposure to oxidants; conserved in higher eukaryotes"
YKR042W	-0.29	-0.03	-0.64	-0.67	-0.81	-1.06	-0.22	-0.32	0.1	0.12	UTH1	"Mitochondrial outer membrane and cell wall localized SUN family member involved in cell wall biogenesis and required for mitochondrial autophagy; involved in the oxidative stress response, life span during starvation, and cell death"
YKR043C	-0.83	-0.52	-1.07	-1.18	-1.23	-0.99	-0.31	-0.19	-0.29	-0.17	SHB17	"Sedoheptulose bisphosphatase involved in riboneogenesis; dephosphorylates sedoheptulose 1,7-bisphosphate, which is converted via the nonoxidative pentose phosphate pathway to ribose-5-phosphate; facilitates the conversion of glycolytic intermediates to pentose phosphate units; also has fructose 1,6-bisphosphatase activity but this is probably not biologically relevant, since deletion does not affect FBP levels; GFP-fusion protein localizes to the cytoplasm and nucleus"
YKR066C	3.66	3.44	3.53	2.12	2.24	1.72	1.93	2.49	2.72	2.7	CCP1	"Mitochondrial cytochrome-c peroxidase; degrades reactive oxygen species in mitochondria, involved in the response to oxidative stress"
YKR106W	0.01	0.94	1.9	1.38	0.71	0.54	0.31	0.52	0.21	0.33	GEX2	Proton:glutathione antiporter localized to the vacuolar and plasma membranes; expressed at a very low level; almost identical to paralog Gex1p; potential role in resistance to oxidative stress and modulation of the PKA pathway
YLR043C	0.15	0.31	0.67	0.23	0.75	0.52	0.32	0.03	-0.17	0.11	TRX1	"Cytoplasmic thioredoxin isoenzyme of the thioredoxin system which protects cells against oxidative and reductive stress, forms LMA1 complex with Pbi2p, acts as a cofactor for Tsa1p, required for ER-Golgi transport and vacuole inheritance"
YLR109W	2.34	2.99	2.85	2.73	2.43	2.14	1.75	1.8	1.77	1.88	AHP1	"Thiol-specific peroxiredoxin, reduces hydroperoxides to protect against oxidative damage; function in vivo requires covalent conjugation to Urm1p"
YLR188W	0.23	-0.36	-0.14	-0.76	0.23	-0.03	0.38	-0.36	0.14	0.08	MDL1	"Mitochondrial inner membrane half-type ATP-binding cassette (ABC) transporter, mediates export of peptides generated upon proteolysis of mitochondrial proteins, plays a role in the regulation of cellular resistance to oxidative stress"
YLR205C	1.19	1.64	1.74	-0.15	0.04	0.74	0.73	0.42	0.32	0.21	HMX1	"ER localized heme oxygenase, involved in heme degradation during iron starvation and in the oxidative stress response; expression is regulated by AFT1 and oxidative stress; relocates to the perinuclear region in the presence of oxidants"
YLR248W	-0.04	0.8	0.38	0.25	-0.25	0	0.01	-0.1	0.01	0.04	RCK2	Protein kinase involved in the response to oxidative and osmotic stress; identified as suppressor of S. pombe cell cycle checkpoint mutations; similar to CaM (calmodulin) kinases
YLR354C	-0.12	-0.1	0.6	0.4	1.11	0.69	0.6	0.56	0.43	0.63	TAL1	"Transaldolase, enzyme in the non-oxidative pentose phosphate pathway; converts sedoheptulose 7-phosphate and glyceraldehyde 3-phosphate to erythrose 4-phosphate and fructose 6-phosphate"
YLR364W	0.2	0.23	0.32	0.5	-0.14	0.15	-0.14	-0.17	-0.14	-0.89	GRX8	Glutaredoxin that employs a dithiol mechanism of catalysis; monomeric; activity is low and null mutation does not affect sensitivity to oxidative stress; GFP-fusion protein localizes to the cytoplasm; expression strongly induced by arsenic
YLR380W	-0.62	0.06	-0.27	-0.6	-0.25	-0.22	0.06	-0.62	-0.25	-0.17	CSR1	Phosphatidylinositol transfer protein with a potential role in regulating lipid and fatty acid metabolism under heme-depleted conditions; interacts specifically with thioredoxin peroxidase; may have a role in oxidative stress resistance
YML007W	1.84	1.88	2.12	1.05	1.47	1.32	0.4	0.77	0.42	0.39	YAP1	Basic leucine zipper (bZIP) transcription factor required for oxidative stress tolerance; activated by H2O2 through the multistep formation of disulfide bonds and transit from the cytoplasm to the nucleus; mediates resistance to cadmium
YML028W	1.66	1.36	1.86	0.94	1.74	1.96	2.07	1.32	1.96	2.11	TSA1	"Thioredoxin peroxidase, acts as both a ribosome-associated and free cytoplasmic antioxidant; self-associates to form a high-molecular weight chaperone complex under oxidative stress; deletion results in mutator phenotype"
YML060W	-1.32	-0.2	-1.36	-1.6	-0.14		-0.1	0.23	-0.2	-0.18	OGG1	"Mitochondrial glycosylase/lyase that specifically excises 7,8-dihydro-8-oxoguanine residues located opposite cytosine or thymine residues in DNA, repairs oxidative damage to mitochondrial DNA, contributes to UVA resistance"
YML086C	1.01	1.16	0.92	-0.17	0.15	0.16	-0.07	-0.15	0.02	-0.14	ALO1	"D-Arabinono-1,4-lactone oxidase, catalyzes the final step in biosynthesis of dehydro-D-arabinono-1,4-lactone, which is protective against oxidative stress"
YML130C	1.06	0.79	0.69	0.4	0.1	-0.25	-0.13	0.05	-0.06	0.2	ERO1	Thiol oxidase required for oxidative protein folding in the endoplasmic reticulum
YMR038C	1.14	-0.15	-0.04	0.21	-0.47		0.03	0.21	-0.06	0.04	CCS1	"Copper chaperone for superoxide dismutase Sod1p, involved in oxidative stress protection; Met-X-Cys-X2-Cys motif within the N-terminal portion is involved in insertion of copper into Sod1p under conditions of copper deprivation"
YMR250W	2.06	3.61	4.31	3.13	3.67	2.78	1.85	1.58	-0.3	1.57	GAD1	"Glutamate decarboxylase, converts glutamate into gamma-aminobutyric acid (GABA) during glutamate catabolism; involved in response to oxidative stress"
YNL071W	0.12	0.38	0.7	0.35	0.33	0.06	0.07	0.23	-0.19	-0.12	LAT1	"Dihydrolipoamide acetyltransferase component (E2) of pyruvate dehydrogenase complex, which catalyzes the oxidative decarboxylation of pyruvate to acetyl-CoA"
YNL099C	-0.49	-0.06	-0.47	0.31	-0.3	-0.14	0.04	-0.27	-0.09	0.03	OCA1	"Putative protein tyrosine phosphatase, required for cell cycle arrest in response to oxidative damage of DNA"
YNL167C	0.7	0.34	0.41	0.32	0.36	0.16	-0.29	-0.06	-0.32	-0.6	SKO1	Basic leucine zipper transcription factor of the ATF/CREB family; forms a complex with Tup1p and Cyc8p to both activate and repress transcription; cytosolic and nuclear protein involved in osmotic and oxidative stress responses
YNL240C	0.12	-0.01	0.25		-0.17	-1.51	-0.43	-0.27	-0.34	-0.54	NAR1	"Component of the cytosolic iron-sulfur (FeS) protein assembly machinery, required for maturation of cytosolic and nuclear FeS proteins and for normal resistance to oxidative stress; homologous to human Narf"
YOL038W	0.59	0.83	0.98	0.69	0.11	-0.12	-0.67	-0.34	-0.47	-0.89	PRE6	Alpha 4 subunit of the 20S proteasome; may replace alpha 3 subunit (Pre9p) under stress conditions to create a more active proteasomal isoform; GFP-fusion protein relocates from cytosol to the mitochondrial surface upon oxidative stress
YOL049W	0.99	1.31	1.37	1.34	0.79	0.25	0.49	-0.01	0.38	0.46	GSH2	"Glutathione synthetase, catalyzes the ATP-dependent synthesis of glutathione (GSH) from gamma-glutamylcysteine and glycine; induced by oxidative stress and heat shock"
YOL151W	4.4	3.62	3.48	2.71	2.58	2.45	2.06	2.25	2.22	2.81	GRE2	"3-methylbutanal reductase and NADPH-dependent methylglyoxal reductase (D-lactaldehyde dehydrogenase); stress induced (osmotic, ionic, oxidative, heat shock and heavy metals); regulated by the HOG pathway"
YOR028C	2.53	2.13	1.48	1.11	0.81	0.08	0.59	0.86	0.12	0.7	CIN5	Basic leucine zipper (bZIP) transcription factor of the yAP-1 family; physically interacts with the Tup1-Cyc8 complex and recruits Tup1p to its targets; mediates pleiotropic drug resistance and salt tolerance; nuclearly localized under oxidative stress and sequestered in the cytoplasm by Lot6p under reducing conditions
YOR356W	0.5	-0.48	-0.11	0.77	0.16	0.35	-0.08	-0.01	-0.09	-0.51	CIR2	Putative ortholog of human electron transfer flavoprotein dehydrogenase (ETF-dH); found in a large supramolecular complex with other mitochondrial dehydrogenases; may have a role in oxidative stress response
YPL061W	0.16	-0.09	-0.12	0.45	-0.3	-0.45	-0.89	-0.62	-0.84	-0.58	ALD6	"Cytosolic aldehyde dehydrogenase, activated by Mg2+ and utilizes NADP+ as the preferred coenzyme; required for conversion of acetaldehyde to acetate; constitutively expressed; locates to the mitochondrial outer surface upon oxidative stress"
YPL123C	0.03	0.4	0.48	1.72	1.3	1.01	0.65	0.54	0.1	0.31	RNY1	"Vacuolar RNase of the T(2) family, relocalizes to the cytosol where it cleaves tRNAs upon oxidative or stationary phase stress; promotes apoptosis under stress conditions and this function is independent of its catalytic activity"
YPL154C	0.93	1.99	2.06	1.85	1.84	1.73	0.91	0.42	0.65	0.31	PEP4	"Vacuolar aspartyl protease (proteinase A), required for the posttranslational precursor maturation of vacuolar proteinases; important for protein turnover after oxidative damage; synthesized as a zymogen, self-activates"
YPL171C	0.68	1.96	0.83	1.09	-0.14	-0.9	0.45	0.39	0.35	-0.15	OYE3	"Conserved NADPH oxidoreductase containing flavin mononucleotide (FMN), homologous to Oye2p with different ligand binding and catalytic properties; has potential roles in oxidative stress response and programmed cell death"
YPL188W	0.86	0.33	-0.1	0.41	-0.1	-0.3	0.18	0.52	0.03	0.08	POS5	"Mitochondrial NADH kinase, phosphorylates NADH; also phosphorylates NAD(+) with lower specificity; required for the response to oxidative stress"
YPL196W	0.31	0.16	0.75	0.08	0.69	0.57	0.41	0.06	0.1	0.28	OXR1	"Protein of unknown function required for normal levels of resistance to oxidative damage, null mutants are sensitive to hydrogen peroxide; member of a conserved family of proteins found in eukaryotes"
YPL202C	0.94	1.33	1.43	-0.09	0.28	0.23	0.36	0.36	0.1	0.3	AFT2	Iron-regulated transcriptional activator; activates genes involved in intracellular iron use and required for iron homeostasis and resistance to oxidative stress; similar to Aft1p
YPL223C	1.32	0.94	1.29	-0.97	0	-0.49	0.6	0.45	0.58	0.31	GRE1	"Hydrophilin of unknown function; stress induced (osmotic, ionic, oxidative, heat shock and heavy metals); regulated by the HOG pathway"
YPL239W	-0.94	-1.56	-1.18	-0.94	-0.23	-0.1	-0.32	0	-0.22	-0.62	YAR1	"Cytoplasmic ankyrin-repeat containing protein of unknown function, proposed to link the processes of 40S ribosomal subunit biogenesis and adaptation to osmotic and oxidative stress; expression repressed by heat shock"
YPR004C	-1.22	-0.42	-0.18	-0.01	0.04	0.21	0.42	0.16	0.11	0.37	AIM45	"Putative ortholog of mammalian electron transfer flavoprotein complex subunit ETF-alpha; interacts with frataxin, Yfh1p; null mutant displays elevated frequency of mitochondrial genome loss; may have a role in oxidative stress response"
YPR048W	1.5	1.1	0.58	-0.01	0.06	0.11	-0.2	0.01	-0.34		TAH18	"Conserved NAPDH-dependent diflavin reductase, component of an early step in the cytosolic Fe-S protein assembly (CIA) machinery; transfers electrons from NADPH to the Fe-S cluster of Dre2p; plays a pro-death role under oxidative stress"
YAL001C	0.6	1.04	0.4	-0.04	0.36	0.23	-0.14	-0.09	0.15	-0.46	TFC3	Largest of six subunits of the RNA polymerase III transcription initiation factor complex (TFIIIC); part of the TauB domain of TFIIIC that binds DNA at the BoxB promoter sites of tRNA and similar genes; cooperates with Tfc6p in DNA binding
YAL002W	0.48	0	0.58	0.81	0.54	0.18	-0.11	0.03	0.1	-0.38	VPS8	Membrane-associated protein that interacts with Vps21p to facilitate soluble vacuolar protein localization; component of the CORVET complex; required for localization and trafficking of the CPY sorting receptor; contains RING finger motif
YAL003W	0.25		-1.29	-1.79			-0.45	-0.64	0.01	-0.58	EFB1	"Translation elongation factor 1 beta; stimulates nucleotide exchange to regenerate EF-1 alpha-GTP for the next elongation cycle; part of the EF-1 complex, which facilitates binding of aminoacyl-tRNA to the ribosomal A site"
YAL004W	0.55	0.5	1.83	1.79	0.01	0.24	-0.67	-0.85	-0.42	-0.37	YAL004W	"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; completely overlaps verified gene SSA1/YAL005C"
YAL005C	0.46	0.25	0.77	0.93			-0.58	-0.67	-0.18	-0.56	SSA1	"ATPase involved in protein folding and nuclear localization signal (NLS)-directed nuclear transport; member of heat shock protein 70 (HSP70) family; forms a chaperone complex with Ydj1p; localized to the nucleus, cytoplasm, and cell wall; 98% identical with Ssa2p, but subtle differences between the two proteins provide functional specificity with respect to propagation of yeast [URE3] prions and vacuolar-mediated degradations of gluconeogenesis enzymes"
YAL007C	0.65	0.58	0.86	2.05	0.3	0.33	-0.29	-0.23	-0.15	-0.32	ERP2	"Protein that forms a heterotrimeric complex with Erp1p, Emp24p, and Erv25p; member, along with Emp24p and Erv25p, of the p24 family involved in ER to Golgi transport and localized to COPII-coated vesicles"
YAL008W	0.98	0.51	0.62	-0.42			0.04	0.01	0.26	-0.51	FUN14	Mitochondrial protein of unknown function
YAL009W	0.67	0.38	-0.7	-0.09	0.32	-0.18	-0.14	-0.01	0.64	-0.46	SPO7	"Putative regulatory subunit of Nem1p-Spo7p phosphatase holoenzyme, regulates nuclear growth by controlling phospholipid biosynthesis, required for normal nuclear envelope morphology, premeiotic replication, and sporulation"
YAL010C	0.95	1.09		1.81			-0.23	-0.25	-0.04	-0.47	MDM10	"Subunit of both the ERMES complex that links the ER to mitochondria, and of the mitochondrial sorting and assembly machinery (SAM complex) that functions in import and assembly of outer membrane beta-barrel proteins"
YAL011W		-0.3	0.56	-0.01	-0.04	0.3					SWC3	"Protein of unknown function, component of the SWR1 complex, which exchanges histone variant H2AZ (Htz1p) for chromatin-bound histone H2A; required for formation of nuclear-associated array of smooth endoplasmic reticulum known as karmellae"
YAL012W			0.48	-0.2			-0.23	-0.2	0.08	-0.42	CYS3	"Cystathionine gamma-lyase, catalyzes one of the two reactions involved in the transsulfuration pathway that yields cysteine from homocysteine with the intermediary formation of cystathionine"
YAL013W				-0.94	-0.17				1		DEP1	"Transcriptional modulator involved in regulation of structural phospholipid biosynthesis genes and metabolically unrelated genes, as well as maintenance of telomeres, mating efficiency, and sporulation"
