name	strain	Group	Pho4	Tag	Content	Pho2	PHO5RFP	n_root	n_cells	n_singlet	n_induction	BL1.H	YL2.H	ratio
194w-1.fcs	194w	LFS	pH194	mNeon	Sc(1-312)	TRUE	pho5	39970	33335	31616	29105	1642.000244140625	14816.99609375	9.002168122126992
194w-2.fcs	194w	LFS	pH194	mNeon	Sc(1-312)	TRUE	pho5	35480	31643	29875	27924	1441.9998779296875	12829.9970703125	8.88145818336216
194w-3.fcs	194w	LFS	pH194	mNeon	Sc(1-312)	TRUE	pho5	35496	31957	30036	28267	1258.999755859375	10374.9990234375	8.136825671153014
194wo-1.fcs	194wo	LFS	pH194	mNeon	Sc(1-312)	FALSE	pho5	40693	36937	34537	31849	2949	1699.999755859375	0.5521898348735877
194wo-2.fcs	194wo	LFS	pH194	mNeon	Sc(1-312)	FALSE	pho5	38631	34219	32163	29030	1389.9998779296875	745.99993896484375	0.5373698424702925
194wo-3.fcs	194wo	LFS	pH194	mNeon	Sc(1-312)	FALSE	pho5	40296	35490	33436	30055	1674.0003662109375	956.00018310546875	0.57230155895742
A12-1.fcs	A12	JZ	pH188	mNeon	Cg(1-533)	FALSE	ura3	52536	42639	40087	36088	1417.9998779296875	8875.9990234375	6.281641596840736
A12-2.fcs	A12	JZ	pH188	mNeon	Cg(1-533)	FALSE	ura3	53238	41863	39580	35738	1397.9998779296875	8975.9990234375	6.413195391547228
A12-3.fcs	A12	JZ	pH188	mNeon	Cg(1-533)	FALSE	ura3	52363	40174	38117	33820	1255	9180.49951171875	7.407669566598665
A17-1.fcs	A17	JZ	pH193	mNeon	Sc(1-224)Cg(381-533)	FALSE	ura3	54141	46938	44039	41611	2037.9998779296875	4001.9990234375	1.988986786115105
A17-2.fcs	A17	JZ	pH193	mNeon	Sc(1-224)Cg(381-533)	FALSE	ura3	50600	43963	41200	39433	1819.9998779296875	3479.999267578125	1.9221437839275235
A17-3.fcs	A17	JZ	pH193	mNeon	Sc(1-224)Cg(381-533)	FALSE	ura3	43788	36718	34589	31859	1718.9996337890625	2980.000244140625	1.7308403216798172
A18-1.fcs	A18	JZ	pH194	mNeon	Sc(1-312)	FALSE	ura3	43533	34520	32754	29700	1355.000244140625	1101.0001220703125	0.8199563691111816
A18-2.fcs	A18	JZ	pH194	mNeon	Sc(1-312)	FALSE	ura3	42522	36478	34250	31177	1330.000244140625	1137.9998779296875	0.8548276498361858
A18-3.fcs	A18	JZ	pH194	mNeon	Sc(1-312)	FALSE	ura3	45200	37936	35738	32513	1372.999755859375	1144.0001220703125	0.8340968578662803
A20-1.fcs	A20	JZ	pH177	mNeon	Sc(1-236)Cg(453-533)	FALSE	ura3	53041	46967	43919	40578	5437.500244140625	4329	0.7980470029203433
A20-2.fcs	A20	JZ	pH177	mNeon	Sc(1-236)Cg(453-533)	FALSE	ura3	60539	51182	47957	43026	5429.00048828125	3894.5001220703125	0.712025204676028
A20-3.fcs	A20	JZ	pH177	mNeon	Sc(1-236)Cg(453-533)	FALSE	ura3	56231	50387	46894	42634	5148.9990234375	3890.000244140625	0.7542634625240976
A3-1.fcs	A3	JZ	pH179	mNeon	Cg(1-44)Sc(43-236)Cg(453-533)	FALSE	ura3	59265	46854	43724	37376	3059.000244140625	6711.99853515625	2.203560019837708
A3-2.fcs	A3	JZ	pH179	mNeon	Cg(1-44)Sc(43-236)Cg(453-533)	FALSE	ura3	51467	44401	41339	36272	3089.00048828125	5624.5	1.8202728337009786
A3-3.fcs	A3	JZ	pH179	mNeon	Cg(1-44)Sc(43-236)Cg(453-533)	FALSE	ura3	81601	44130	43160	40083	4272	6133.99853515625	1.4326310333306034
A4-1.fcs	A4	JZ	pH180	mNeon	Cg(1-44)Sc(43-312)	FALSE	ura3	54105	45514	42857	39919	2897	3705	1.2806290904505824
A4-2.fcs	A4	JZ	pH180	mNeon	Cg(1-44)Sc(43-312)	FALSE	ura3	45123	41504	38579	36621	1984.0003662109375	3278.999755859375	1.66374586268956
A4-3.fcs	A4	JZ	pH180	mNeon	Cg(1-44)Sc(43-312)	FALSE	ura3	52870	45824	42813	39463	2073.000244140625	2992.000732421875	1.462626159571006
B12-1.fcs	B12	JZ	pH188	mNeon	Cg(1-533)	TRUE	ura3	43023	35372	33288	30217	1078.999755859375	5920.00146484375	5.471860915967091
B12-2.fcs	B12	JZ	pH188	mNeon	Cg(1-533)	TRUE	ura3	41842	33562	31579	28449	1043.0001220703125	6148.00048828125	5.899282101339667
B12-3.fcs	B12	JZ	pH188	mNeon	Cg(1-533)	TRUE	ura3	43776	36484	33781	30912	1038.0001220703125	6073.9990234375	5.833452564783871
B17-1.fcs	B17	JZ	pH193	mNeon	Sc(1-224)Cg(381-533)	TRUE	ura3	62604	39763	38226	36750	1546.0001220703125	11361.9990234375	7.375821025732803
B17-2.fcs	B17	JZ	pH193	mNeon	Sc(1-224)Cg(381-533)	TRUE	ura3	49838	37220	35483	31352	1537.000244140625	11432.4990234375	7.56116534105343
B17-3.fcs	B17	JZ	pH193	mNeon	Sc(1-224)Cg(381-533)	TRUE	ura3	54575	38329	36771	35080	1259.9998779296875	7506.00048828125	6.0042457260950695
B18-1.fcs	B18	JZ	pH194	mNeon	Sc(1-312)	TRUE	ura3	35297	30680	28960	26936	1358.999755859375	9263.9990234375	6.812764645118127
B18-2.fcs	B18	JZ	pH194	mNeon	Sc(1-312)	TRUE	ura3	36607	31368	29615	27765	1407	9500.0009765625	6.7285215737194015
B18-3.fcs	B18	JZ	pH194	mNeon	Sc(1-312)	TRUE	ura3	41316	33471	31717	29941	1415	9081.9990234375	6.497328961842135
B20-1.fcs	B20	JZ	pH177	mNeon	Sc(1-236)Cg(453-533)	TRUE	ura3	63366	39753	38363	35069	2117	10461.998046875	4.906825913584599
B20-2.fcs	B20	JZ	pH177	mNeon	Sc(1-236)Cg(453-533)	TRUE	ura3	49899	35421	33890	32167	2001.0003662109375	10042.0009765625	4.941175072336352
B20-3.fcs	B20	JZ	pH177	mNeon	Sc(1-236)Cg(453-533)	TRUE	ura3	57362	38840	37289	35330	2180.499755859375	10899.001953125	4.949881807000096
B3-1.fcs	B3	JZ	pH179	mNeon	Cg(1-44)Sc(43-236)Cg(453-533)	TRUE	ura3	8922	3281	3183	2095	3838.0009765625	46173.98828125	12.062280832372501
B3-2.fcs	B3	JZ	pH179	mNeon	Cg(1-44)Sc(43-236)Cg(453-533)	TRUE	ura3	92550	46066	44785	42229	2844.999755859375	23989	8.427212516981685
B3-3.fcs	B3	JZ	pH179	mNeon	Cg(1-44)Sc(43-236)Cg(453-533)	TRUE	ura3	5067	3893	3615	3080	2183	4609.00048828125	2.0374062481517994
B3-4.fcs	B3	JZ	pH179	mNeon	Cg(1-44)Sc(43-236)Cg(453-533)	TRUE	ura3	97677	47433	46074	42564	2943.5001220703125	25937.498046875	8.816211837567298
B4-1.fcs	B4	JZ	pH180	mNeon	Cg(1-44)Sc(43-312)	TRUE	ura3	84649	45943	44585	40443	1601.0003662109375	11374.0029296875	7.06370368370643
B4-2.fcs	B4	JZ	pH180	mNeon	Cg(1-44)Sc(43-312)	TRUE	ura3	63959	41902	40258	37197	1731.000244140625	11590	6.680396923217528
B4-3.fcs	B4	JZ	pH180	mNeon	Cg(1-44)Sc(43-312)	TRUE	ura3	73593	44453	42840	39941	1735	10908.001953125	6.278996865203761
yH156-1.fcs	yH156	LFS	ScPho4	NA	Sc(1-312)	TRUE	NA	39328	34762	32722	30331	832.99993896484375	73	0.08399998724365312
yH372-1.fcs	yH372	LFS	pho4del	NA	pho4del	TRUE	pho5	36464	33216	31113	29162	703	407.9999694824219	0.5911654803255292
yH373-1.fcs	yH373	LFS	pho4del	NA	pho4del	FALSE	pho5	46445	36349	34792	31277	865	603.99993896484375	0.711347879128658
yHB050-1.fcs	yHB050	JZ	pH124	mNeon	Sc(1-312)	FALSE	ura3	47577	42958	40131	36252	2678.000244140625	2378.500244140625	0.8809480008185012
yHB063-1.fcs	yHB063	JZ	pH124	mNeon	Sc(1-312)	TRUE	ura3	36837	31958	29635	27453	1266	7548.9990234375	5.958415805582794
